id,name,tax_no,start_date,end_date,created_by,updated_by
1,Poaceae,hzyuktfmejqs,16/12/2021,24/08/2021,404,590
2,Caryophyllaceae,hzcltgbvqrmjkuapf,26/01/2022,14/01/2022,644,465
3,Meliaceae,bkzlhxdejfrgicawn,14/11/2021,18/03/2022,676,350
4,Viscaceae,zonvjdyhlcxwg,06/10/2021,20/04/2022,329,373
5,Parmeliaceae,quyagfowscpjemxzd,25/02/2022,21/12/2021,825,1
6,Asteraceae,blcnwteuajifqhozmps,16/12/2021,17/09/2021,688,441
7,Ranunculaceae,wjaxqytmesv,10/11/2021,29/11/2021,401,162
8,Brassicaceae,frdpoahgwxnc,07/04/2022,20/12/2021,82,226
9,Physciaceae,kdbusyhcirz,28/07/2021,06/02/2022,647,475
10,Cyperaceae,qzvnpbsjkyolig,07/01/2022,07/05/2022,875,69
11,Cyperaceae,odfwtmhnyejisq,12/12/2021,04/10/2021,958,609
12,Liliaceae,zmfjqxiaulnegkry,29/07/2021,04/11/2021,698,198
13,Scrophulariaceae,wrizlvusegdb,04/06/2022,25/11/2021,320,468
14,Orchidaceae,agzbifovmk,03/06/2022,28/10/2021,940,369
15,Orchidaceae,ptwyisfedv,19/02/2022,08/12/2021,830,414
16,Salicaceae,irmltdxyheogqvwanpfj,06/01/2022,14/05/2022,65,853
17,Caryophyllaceae,nmzcashrvqiufdjklegy,22/01/2022,20/04/2022,785,821
18,Arecaceae,prceunkwjbvzxdgolsh,20/02/2022,13/01/2022,70,489
19,Fabaceae,pqljvtcmfnbw,24/06/2021,01/09/2021,24,299
20,Sapindaceae,estichmuxqkjw,18/10/2021,27/12/2021,272,4
21,Asteraceae,kvgjoqbwxn,09/10/2021,11/04/2022,279,155
22,Fagaceae,eldzioxmwtpsjhukcy,28/07/2021,02/02/2022,519,658
23,Malvaceae,amkhtgzjldyebnpcxs,11/12/2021,03/05/2022,960,408
24,Pteridaceae,echaprsgflzy,08/10/2021,28/05/2022,982,718
25,Brassicaceae,nldfyxpqwjkcsv,31/08/2021,23/10/2021,444,902
26,Verbenaceae,aqpmhrgbzewn,10/10/2021,27/04/2022,819,774
27,Polygonaceae,yjkzofugptwqbnvd,07/10/2021,28/09/2021,562,737
28,Fabaceae,fxngyhivdzopusej,23/06/2021,24/05/2022,592,197
29,Caryophyllaceae,wxsazlvohjueqc,25/03/2022,06/05/2022,113,779
30,Asteraceae,tdhwfomngsyqpa,23/11/2021,08/05/2022,502,574
31,Asteraceae,tqkvysznguorexdal,17/08/2021,31/01/2022,256,602
32,Scrophulariaceae,yflzpuwtxmhiv,18/09/2021,10/11/2021,478,229
33,Orchidaceae,ogctjwemnfxsad,19/09/2021,21/11/2021,535,189
34,Smilacaceae,ilkqfepmgrutyadbjsw,26/05/2022,25/02/2022,931,900
35,Verrucariaceae,spkregdwajoxfyczilv,20/06/2021,12/11/2021,475,428
36,Lecanoraceae,ulwdkrnaxeciyzbhg,10/04/2022,28/04/2022,52,132
37,Polygonaceae,ejnfsqhudlrx,21/05/2022,09/05/2022,839,42
